"Date","Date description","Message"
"2020-08-26T13:52:14.000Z","26 August, 2020 2:52pm","Winners in Luton "
"2020-08-19T20:52:02.000Z","19 August, 2020 9:52pm","Looking for pre 2004 national lottery funded projects"
"2020-08-15T20:07:04.000Z","15 August, 2020 9:7pm","Was told I was on this funding page and I'm not mark meakin"
"2020-08-14T12:10:05.000Z","14 August, 2020 1:10pm","I'm trying to get a goverment grant for housing emergancy caused by fire"
"2020-08-13T13:42:50.000Z","13 August, 2020 2:42pm","use org name

"
"2020-08-10T15:43:31.000Z","10 August, 2020 4:43pm","When you give planning permission for a mill conversion into flats without speaking to the tenant or even a site visit. Which will close me down then you should pay a grant to subsidise the difference in rent prices, no thought to the four people who will lose jobs. "
"2020-08-06T12:34:34.000Z","6 August, 2020 1:34pm","show the animal charities that you have supported"
"2020-08-05T15:49:19.000Z","5 August, 2020 4:49pm","I have a specialist medical grade gym all the PTs are injury rehab trained, I was wondering if I could get a grant for new equipment so we can help more people who are the most vulnerable in our society, people with MS, elderly, disabled mentally and physically, obesity and diabetes to name just a few"
"2020-08-05T09:54:17.000Z","5 August, 2020 10:54am","What are the current fund programmes for International Poverty Relief projects? "